features, OPC, OAC, OLC, SPC, SAC, SLC
ln_cdf_diff_abs,0.0520828,1.694824,,0.0177154,1.7852,
nodom,0.0682916,0.6653409,,0.0431743,0.8315662,
ave_ln_scale,0.0356251,1.118321,,0.0036323,1.4277,
ave_ln_nstates,0.0447763,2.06915,,0.0519218,3.099207,
ave_not_gains,0.0290073,1.174902,,0.02799,2.244649,
compound,0.0740448,2.466882,2.135194,0.0610047,3.418722,3.137932
abs_ev_diff,-0.032245,,,-0.0037486,,
abs_ev_diff_sq,0.0014489,,,0.0001035,,
ln_var_a,,,1.056701,,,1.168906
ln_scale_a,,,0.9006254,,,1.054988
ln_nstates_a,,,2.099325,,,2.952522
not_gains_a,,,0.9640494,,,1.713795
_cons,0.0272663,-4.124884,-5.673871,0.0205027,-5.349231,-6.754262